Symbol,LTP,%Change,Open,High,Low,Qty,PClose,Diff
HDL,"1,150.00",-0.17,"1,175.00","1,175.00","1,150.00","37,576","1,152.00",-2
HEI,497,-0.18,490,504.8,490,"9,146",497.9,-0.9
HHL,335,-0.3,342.7,342.7,330.4,"14,218",336,-1
HIDCL,266.5,-0.07,267,270,265,"61,726",266.7,-0.2
HIDCLP,182.1,-0.22,180.4,184.3,180.4,"69,856",182.5,-0.4
HIMSTAR,"1,030.00",1.98,989.8,"1,071.00",940.4,"71,075","1,010.00",20
HLBSL,918,0.55,900,918,900,"3,208",913,5
HLI,376,-0.21,375.5,378.8,375.1,"21,791",376.8,-0.8
HLICF,8.91,-1.22,8.94,9.02,8.85,"2,700",9.02,-0.11
HPPL,468,-0.49,475,475,466,"45,962",470.3,-2.3
HRL,826,0.36,816.3,837,816.3,"69,824",823,3
HURJA,222,-0.89,227.9,227.9,220.2,"19,145",224,-2
ICFC,630,0,630,633,620,"14,428",630,0
ICFCD83,"1,171.00",-0.76,"1,180.00","1,180.00","1,171.00",90,"1,180.00",-9
ICFCD88,"1,160.00",-0.24,"1,160.00","1,160.00","1,160.00",100,"1,162.80",-2.8
IGI,421.8,1.32,414,422.8,412.1,"15,545",416.3,5.5
IHL,574.6,9.03,521,579.5,521,"53,163",527,47.6
ILBS,"1,055.00",-1.4,"1,050.60","1,071.00","1,046.00","7,261","1,070.00",-15
ILBSP,624,0.65,620,624,620,"36,000",620,4
ILI,460,0.86,460,460.9,452.1,"28,740",456.1,3.9
JBBD87,"1,195.00",3.46,"1,270.50","1,270.50","1,195.00",20,"1,155.00",40
JBBL,320.4,0.12,313.6,323.9,313.6,"29,905",320,0.4
JBLB,"1,497.00",1.15,"1,470.00","1,500.00","1,470.00","8,648","1,480.00",17
JFL,421,-0.5,429,429,416.2,"14,382",423.1,-2.1
JHAPA,"1,298.90",9.99,"1,204.50","1,298.90","1,113.00","70,662","1,180.90",118
JOSHI,309.9,-0.26,310.7,314.9,307,"72,177",310.7,-0.8
JSLBB,"1,199.90",1.69,"1,202.50","1,202.50","1,155.00",729,"1,180.00",19.9
KBL,179,-0.67,178.6,181.7,178.3,"71,849",180.2,-1.2
KBSH,"1,794.00",1.93,"1,795.00","1,795.00","1,760.00",72,"1,760.00",34
KDBY,9.35,-0.53,9.22,9.49,9.22,"5,300",9.4,-0.05
KDL,903,-0.22,895,910,895,"2,595",905,-2
KEF,9.14,1.56,8.83,9.17,8.82,"4,600",9,0.14
KKHC,242.7,-0.12,239,243.1,237.1,"19,068",243,-0.3
KMCDB,"1,137.90",0.34,"1,134.00","1,139.00","1,110.00","24,385","1,134.00",3.9
KPCL,542,-1.11,548,556,542,"29,695",548.1,-6.1
KSBBL,431.5,0.82,435,435,426.3,"10,600",428,3.5
KSBBLD87,"1,164.80",2,"1,164.80","1,164.80","1,164.80",117,"1,142.00",22.8
KSY,8.85,-0.11,8.71,8.85,8.71,"5,948",8.86,-0.01
LBBL,444.2,-0.18,445,452.5,442.3,"53,366",445,-0.8
LEC,197,1.65,193.8,200,190.5,"157,003",193.8,3.2
LICN,913.1,2.14,891,919.9,891,"29,391",894,19.1
LLBS,982.2,-1.88,"1,000.00","1,000.00",981,472,"1,001.00",-18.8
LSL,232,-0.43,232,232.5,230,"129,868",233,-1
LUK,9.18,0.66,9.12,9.18,9.12,600,9.12,0.06
LVF2,9,-2.07,9.02,9.3,8.84,"48,900",9.19,-0.19
MABEL,725,0.69,705.6,760,705.6,"33,327",720,5
MAKAR,569,4.19,540,575.2,540,"14,762",546.1,22.9
MANDU,795.5,-1.18,790,805,790,"1,530",805,-9.5
MATRI,960,0.84,940,960,940,"1,097",952,8
MBJC,286,-0.28,284.1,290.6,281.4,"25,564",286.8,-0.8
MBL,215.7,-1.06,215,219,215,"60,375",218,-2.3
MBLEF,9.28,1.98,9,9.3,9,"32,450",9.1,0.18
MCHL,491,-3.73,520.2,520.2,481,"8,506",510,-19
MDB,569,0.89,573,573,555,"27,373",564,5
MEHL,489.8,0.16,480,494.9,480,"57,948",489,0.8
MEL,286,-1.04,283.4,300,283,"66,718",289,-3
MEN,538,-0.85,543,545.6,536,"62,895",542.6,-4.6
MERO,750,-0.66,755,784,749.4,"8,874",755,-5
MFIL,636,2.58,623,645,615,"77,824",620,16
MHCL,393.1,-1.11,397.5,399,392.1,"2,911",397.5,-4.4
MHL,488.8,1.66,481,491.6,480,"14,340",480.8,8
MHNL,245,0.04,240.2,247,240.2,"9,634",244.9,0.1
MKCL,"1,341.00",-1.29,"1,348.00","1,368.00","1,340.80","3,665","1,358.50",-17.5
MKHC,390,0,382.5,397.5,382.5,"4,170",390,0
MKHL,795,1,802.8,802.8,772,"8,730",787.1,7.9
MKJC,524.7,-0.62,523.2,526,518.2,"23,363",528,-3.3
MLBBL,"1,559.00",-0.26,"1,560.00","1,560.00","1,497.10","8,902","1,563.00",-4
MLBL,378.3,-0.45,379.2,380,377.2,"22,939",380,-1.7
MLBS,"1,509.00",0.47,"1,500.00","1,509.00","1,482.20",474,"1,502.00",7
MLBSL,"1,990.00",0.51,"1,945.00","2,018.00","1,945.00",130,"1,980.00",10
MMF1,8.51,0.35,8.4,8.6,8.4,"3,490",8.48,0.03
MMKJL,586.9,1.54,578,589.5,575,"19,369",578,8.9
MNBBL,342.2,-0.81,347.9,347.9,341.3,"40,530",345,-2.8
MND84/85,"1,093.00",-0.91,"1,094.00","1,094.00","1,093.00",50,"1,103.00",-10
MNMF1,8.88,0.34,8.7,8.9,8.53,"39,330",8.85,0.03
MPFL,558,-0.36,560,560,552,"13,623",560,-2
MSHL,905,0.2,895,905,894,872,903.2,1.8
MSLB,"1,439.00",1.84,"1,385.00","1,440.20","1,385.00","1,790","1,413.00",26
NABBC,"1,038.00",1.86,998.7,"1,100.00",998.7,"55,446","1,019.00",19
NABIL,495,-1.59,503,503,495,"81,912",503,-8
NABILD2089,"1,106.80",2.01,"1,085.10","1,106.80","1,085.10","2,169","1,085.00",21.8
NABILD87,"1,138.00",-0.39,"1,138.00","1,138.00","1,138.00",25,"1,142.50",-4.5
NADEP,764,0.53,760,771,756,"1,165",760,4
NBBD2085,"1,146.20",1.25,"1,146.20","1,146.20","1,146.20",25,"1,132.00",14.2
NBF2,9.35,0.54,9.3,9.35,9.25,"154,204",9.3,0.05
NBF3,9.02,-0.33,9,9.02,9,"17,450",9.05,-0.03
NBL,241.8,-0.08,246.8,246.8,240.1,"46,014",242,-0.2
NBLD87,"1,120.00",1.7,"1,120.00","1,120.00","1,120.00",100,"1,101.30",18.7
NCCD86,"1,181.00",0,"1,181.00","1,181.00","1,181.00",400,"1,181.00",0
NESDO,"1,510.00",0.59,"1,481.00","1,530.00","1,481.00","1,850","1,501.10",8.9
NFS,631,-1.17,633,644,630,"13,332",638.5,-7.5
NGPL,416.8,3.17,408,418,404,"1,348,861",404,12.8
NHDL,687,-0.48,690.3,696.7,683.1,"2,884",690.3,-3.3
NHPC,189,-0.47,188,190,187.2,"28,558",189.9,-0.9
NIBLGF,8.38,-1.41,8.38,8.38,8.38,"1,400",8.5,-0.12
NIBLSTF,8.34,-0.12,8.29,8.45,8.29,"3,845",8.35,-0.01
NIBSF2,8.28,-2.59,8.33,8.5,8.19,"24,400",8.5,-0.22
NICA,317,0.38,314,319,314,"27,639",315.8,1.2
NICAD2091,"1,090.00",1.02,"1,079.00","1,090.00","1,079.00",250,"1,079.00",11
NICBF,8.82,1.97,8.56,8.82,8.56,"1,400",8.65,0.17
NICD83/84,"1,130.00",-1.4,"1,130.00","1,130.00","1,130.00",20,"1,146.00",-16
NICFC,8.98,2.75,8.62,8.98,8.62,"13,100",8.74,0.24
NICGF2,8.75,0,8.65,8.8,8.65,"2,200",8.75,0
NICL,518,0.19,514,520.1,513,"5,211",517,1
NICLBSL,573.2,1.45,554,573.2,545,"12,338",565,8.2
NICSF,8.72,1.99,8.5,8.72,8.39,"25,301",8.55,0.17
NIFRA,267.8,-0.26,270.9,271,266.8,"99,112",268.5,-0.7
NIFRAGED,"1,070.00",-0.1,"1,071.10","1,073.00","1,070.00",51,"1,071.10",-1.1
NIFRAUR85/86,"1,124.00",2,"1,102.00","1,102.00","1,102.00",1,"1,102.00",22
NIL,610.8,0.07,610,620,600.1,"5,606",610.4,0.4
NIMB,191.1,-0.93,195,195,191,"109,707",192.9,-1.8
NIMBD90,"1,251.00",-1.96,"1,251.00","1,251.00","1,251.00",25,"1,276.00",-25
NIMBPO,157.8,-1.74,160,160,157.8,303,160.6,-2.8
NLG,690,0,703,703,678.3,"18,676",690,0
NLIC,822,0.49,834.3,834.3,811,"65,078",818,4
NLICL,607,0.76,601,611.6,600.1,"9,168",602.4,4.6
NMB,248.1,-0.6,248,249.2,245.3,"41,229",249.6,-1.5
NMB50,10.15,-0.39,10.1,10.15,10.1,"1,100",10.19,-0.04
NMBHF2,8.99,0.33,8.86,9.17,8.86,"56,570",8.96,0.03
NMBMF,698,1.01,678.6,747,678.6,"5,711",691,7
NMFBS,"1,285.00",0.47,"1,304.00","1,304.00","1,279.10","1,874","1,279.00",6
NMIC,"1,326.00",4,"1,300.00","1,352.50","1,251.20","15,549","1,275.00",51
NMLBBL,660.1,-0.86,652.5,665.2,652,"5,611",665.8,-5.7
NRIC,"1,296.00",-0.77,"1,310.00","1,315.20","1,293.10","40,862","1,306.00",-10
NRM,421,0.89,409,429,409,"20,631",417.3,3.7
NRN,"1,397.90",0.35,"1,371.30","1,412.00","1,371.30","48,668","1,393.00",4.9
NSIF2,10.2,0.69,10.32,10.32,10.13,"29,300",10.13,0.07
NTC,871,-0.29,879.9,879.9,868,"11,256",873.5,-2.5
NUBL,750.2,0.16,747,757,743.5,"2,051",749,1.2
NWCL,810,-1.36,820,825,807.1,490,821.2,-11.2
NYADI,391,-0.76,401.8,401.8,390.1,"4,714",394,-3
OHL,706,-0.51,700,710,700,"3,154",709.6,-3.6
OMPL,"1,269.00",-0.2,"1,260.00","1,281.00","1,246.10","21,032","1,271.50",-2.5
PBD88,"1,235.10",0.74,"1,240.00","1,240.00","1,231.00",110,"1,226.00",9.1
PCBL,242.6,-0.98,243.1,246,242.4,"25,957",245,-2.4
PFL,375,-0.53,374,379.5,370,"9,009",377,-2
PHCL,274.5,-0.18,276,279.9,273,"155,400",275,-0.5
PMHPL,325,-0.88,332,332,324.3,"11,961",327.9,-2.9
PMLI,493.1,0.22,486.1,508,486.1,"9,066",492,1.1
PPCL,320,-1.08,320.5,327.9,316.6,"34,868",323.5,-3.5
PPL,332.9,0.54,330,337,329,"90,529",331.1,1.8
PRIN,670.3,-0.7,674,675,670,"4,337",675,-4.7
PROFL,460,-0.88,473,479,460,"11,209",464.1,-4.1
PRSF,10.5,-0.28,10.58,10.58,10.4,"55,200",10.53,-0.03
PRVU,184.1,-0.7,181.7,187.6,181.7,"111,338",185.4,-1.3
PSF,10.31,-1.43,10.31,10.5,10.31,"18,090",10.46,-0.15
PURE,950,4.4,903.6,965.9,895,"103,757",910,40
RADHI,717.1,-0.95,738.4,738.4,716.3,"125,803",724,-6.9
RAWA,724.2,2.43,715,724.2,700.7,"1,631",707,17.2
RBBD2088,"1,092.00",2.05,"1,070.10","1,092.00","1,070.10",157,"1,070.10",21.9
RBCL,"15,005.10",0.04,"15,188.00","15,190.00","15,000.10",610,"14,999.00",6.1
RBCLPO,"11,998.00",0.09,"11,987.00","11,999.00","11,900.10",112,"11,987.00",11
RFPL,385,0.79,375,401.5,373,"65,424",382,3
RHGCL,256,0,250.9,259,250.9,"36,132",256,0
RHPL,278.8,0.32,275.3,291,275.3,"47,159",277.9,0.9
RIDI,223.5,0,223.5,225,222,"45,661",223.5,0
RLFL,438,-0.23,430.3,447,430.3,"12,221",439,-1
RMF1,8.85,0.68,8.96,9.24,8.85,"52,510",8.79,0.06
RMF2,9.3,1.97,9.1,9.3,9.1,"1,400",9.12,0.18
RNLI,486.9,0.83,483.4,491,480.2,"71,745",482.9,4
RSDC,631.9,-0.47,647.1,660,623.2,"12,310",634.9,-3
RSY,9.14,2.24,8.8,9.18,8.8,"16,830",8.94,0.2
RURU,728.5,-0.48,745,745,724,"6,608",732,-3.5
SADBL,405.8,-1,407.2,411,403,"70,282",409.9,-4.1
SAGAR,"1,830.00",0.71,"1,800.00","1,892.00","1,733.00","134,790","1,817.10",12.9
SAGF,9.45,0.53,9.58,9.58,9.43,"28,900",9.4,0.05
SAHAS,543.8,0.15,547,548,541,"43,219",543,0.8
SAIL,781.7,9.99,724.9,781.7,724.9,"6,050",710.7,71
SALICO,600,-0.17,592,602.8,592,"1,497",601,-1
SANIMA,310,0,310,311,305.3,"31,113",310,0
SANVI,677,0.59,660,682,660,"38,149",673,4
SAPDBL,799.3,-1.06,793,823.3,793,"23,310",807.9,-8.6
